,id,price,signed,deadline,method,procurer,supplier,proinn,supinn,registered,address,number,mail,code,product
331,3664600823816000001,"1 218 236,99 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)",Муниципальное казенное общеобразовательное учреждение средняя общеобразовательная школа п. Красноармеец,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6646008238,5612042824,22.05.2014,"['143421, обл МОСКОВСКАЯ 50, р-н КРАСНОГОРСКИЙ, автодорога БАЛТИЯ, тер БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",8-343-3576966,sesb@ies-holding.com,35.11.10.116,"Электроэнергия, произведенная электростанциями общего назначения"
332,3663400748716000001,"1 792 994,00 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)",МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА С. ГОРОДИЩЕ,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6634007487,5612042824,22.05.2014,"['143421, обл МОСКОВСКАЯ 50, р-н КРАСНОГОРСКИЙ, автодорога БАЛТИЯ, тер БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",7-34360-20657,sesb@ies-holding.com,35.14.10.000,покупка электрической энергии
334,2666404148516000003,"2 988 021,00 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""СПЕЦИАЛЬНОЕ УЧЕБНО-ВОСПИТАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЗАКРЫТОГО ТИПА ДЛЯ ОБУЧАЮЩИХСЯ С ДЕВИАНТНЫМ (ОБЩЕСТВЕННО-ОПАСНЫМ) ПОВЕДЕНИЕМ""","Муниципальное унитарное предприятие""Екатеринбургэнерго"" (МУП ""Екатеринбургэнерго"")",6664041485,6608002884,17.04.2007,"['620027,г.Екатеринбург,ул.Свердлова,34а']",7-343-3705760,wwwww@mail.ru,35.30.11.111,Теплоснабжение
335,1665902945016000003,"1 481 108,85 ",2016-01-01,2016-12-31,Электронный аукцион,УПРАВЛЕНИЕ НА ТРАНСПОРТЕ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО УРАЛЬСКОМУ ФЕДЕРАЛЬНОМУ ОКРУГУ,"Общество с ограниченной ответственностью ""Территориальная эксплуатационная служба"" (ООО ""Террэкс"")",6659029450,7452119741,21.11.2014,"['454071, обл ЧЕЛЯБИНСКАЯ 74, г ЧЕЛЯБИНСК, ул КОМАРОВА, 137, офис 74']",7-343-2232005,500@cssural.ru,81.29.19.000,"оказание услуг по уборке зданий, помещений посредствам предоставления профессионального и квалифицированного персонала"
336,3667227911416000005,"3 351 400,00 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","Муниципальное бюджетное  учреждение ""Водоотведение и искусственные сооружения""","Филиал ""Свердловский"" ПУБЛИЧНОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""Т ПЛЮС"" (ПАО ""Т ПЛЮС"")",6672279114,6315376946,19.05.2015,"['143421, Свердловская область, г. Екатеринбург, ул. Ленина 38']",7-343-3555464,1@mail.ru,35.30.11.120,Поставка тепловой энергии
337,1665808957716000045,"10 112 690,34 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)",УПРАВЛЕНИЕ СУДЕБНОГО ДЕПАРТАМЕНТА В СВЕРДЛОВСКОЙ ОБЛАСТИ,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ВНЕВЕДОМСТВЕННОЙ ОХРАНЫ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ"" (ФГКУ УВО ВНГ РОССИИ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ)",6658089577,6671397556,27.10.2015,"['620142, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ ЧАПАЕВА, ДОМ 12А']",8-343-1111111,A@A.ru,84.24.11.000,Охрана объектов подразделениями вневедомственной охраны
338,2665804173716000036,"1 400 000,00 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""СВЕРДЛОВСКИЙ ОБЛАСТНОЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ""","Открытое акционерное общество ""Сибирско-Уральская Алюминиевая компания""",6658041737,6612005052,15.12.2000,"['623406, г. Каменск-Уральский, ул. Заводская, д. 10']",7-34349-354060,info@rusal.ru,35.30.12.110,Тепловая энергия
339,3660700830816000002,"3 050 283,00 ",2016-01-01,2016-12-31,Электронный аукцион,"МУНИЦИПАЛЬНАЯ БЮДЖЕТНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА-ИНТЕРНАТ ""ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА-ИНТЕРНАТ СРЕДНЕГО (ПОЛНОГО) ОБЩЕГО ОБРАЗОВАНИЯ №9 ""МЫС ДОБРОЙ НАДЕЖДЫ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА"")",6607008308,6607012840,01.01.2013,"['624760, обл СВЕРДЛОВСКАЯ 66, г ВЕРХНЯЯ САЛДА, ул КИРОВА, 2']",7-34345-51301,stafeeva_o-77@mail.ru,35.30.12.120,Оказание
340,3661500308516000001,"1 672 300,00 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ДЕТСКАЯ ШКОЛА ИСКУССТВ""","Качканарская Теплоснабжающая Компания (ООО ""Качканарская Теплоснабжающая Компания"")",6615003085,6615015348,28.11.2011,"['624351. Свердловская область, г. Качканар, 8 микрорайон, дом 17']",8-34341-64803,svetlana.makarova@evraz.co,35.30.11.119,Поставка тепловой энергии
341,3664601147016000003,"3 259 300,00 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)",АДМИНИСТРАЦИЯ НИЖНЕСЕРГИНСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6646011470,5612042824,22.05.2014,"['143421, ОБЛ МОСКОВСКАЯ 50, Р-Н КРАСНОГОРСКИЙ, АВТОДОРОГА БАЛТИЯ, ТЕР 26 КМ БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",7-34398-21640,sesb@ies-holding.com,35.12.10.110,продажа электрической энергии(мощности) для освещения улиц
342,1665808957716000014,"5 461 116,34 ",2016-01-01,2017-05-31,"Закупка у единственного поставщика (подрядчика, исполнителя)",УПРАВЛЕНИЕ СУДЕБНОГО ДЕПАРТАМЕНТА В СВЕРДЛОВСКОЙ ОБЛАСТИ,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕКАТЕРИНБУРГЭНЕРГОСБЫТ"" (АО ""ЕЭнС"")",6658089577,6671250899,30.01.2008,"['620144, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, ул СУРИКОВА, ДОМ 48']",8-343-2157713,incident@eens.ru,35.11.10.112,Снабжение электрической энергией
343,2663900892816000001,"1 582 000,00 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ЧЕРНОУСОВСКАЯ ШКОЛА-ИНТЕРНАТ, РЕАЛИЗУЮЩАЯ АДАПТИРОВАННЫЕ ОСНОВНЫЕ ОБЩЕОБРАЗОВАТЕЛЬНЫЕ ПРОГРАММЫ""","Открытое акционерное общество ""ЭнергосбыТ Плюс""",6639008928,5612042824,01.07.2005,"['620075, обл СВЕРДЛОВСКАЯ, г ЕКАТЕРИНБУРГ, ул КУЗНЕЧНАЯ, 92']",(34372)24434,sesb@ies-holding.com,35.12.10.110,Приобретение электрической энергии
344,2663201610116000002,"4 038 147,60 ",2016-01-01,2017-01-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""СЕРОВСКАЯ ШКОЛА-ИНТЕРНАТ ДЛЯ ДЕТЕЙ, НУЖДАЮЩИХСЯ В ДЛИТЕЛЬНОМ ЛЕЧЕНИИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" СЕРОВЭНЕРГО "" (ООО "" СЕРОВЭНЕРГО "")",6632016101,6680004730,08.12.2014,"['624983, обл СВЕРДЛОВСКАЯ 66, г СЕРОВ, ул ЭНЕРГЕТИКОВ, 5']",8-34385-78671,serovenergo70@mail.ru,35.30.11.119,Тепловая энергия
345,1665808957716000009,"1 423 092,97 ",2016-01-01,2017-05-31,"Закупка у единственного поставщика (подрядчика, исполнителя)",УПРАВЛЕНИЕ СУДЕБНОГО ДЕПАРТАМЕНТА В СВЕРДЛОВСКОЙ ОБЛАСТИ,"Публичное акционерное общество ""Т ПЛЮС""",6658089577,6315376946,15.06.2015,"['143421, обл МОСКОВСКАЯ 50, р-н КРАСНОГОРСКИЙ, автодорога БАЛТИЯ, тер БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, СТРОЕНИЕ 3']",8-343-3555464,a@a.ru,35.30.12.110,Теплоснабжение и поставка горячей воды
346,3660603723216000005,"1 576 006,92 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАТИВНО-ХОЗЯЙСТВЕННОЕ УПРАВЛЕНИЕ""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6606037232,5612042824,22.05.2014,"['143421, обл МОСКОВСКАЯ 50, р-н КРАСНОГОРСКИЙ, автодорога БАЛТИЯ, тер БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",8-343-3576912,mku-ahu@mail.ru,35.11.10.116,Поставка электрической энергии
347,1667227399416000052,"2 786 557,92 ",2016-01-01,2016-11-30,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УРАЛЬСКИЙ АВИАЦИОННЫЙ ПОИСКОВО-СПАСАТЕЛЬНЫЙ ЦЕНТР""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИЖНЕВАРТОВСКАВИА"" (АО ""НИЖНЕВАРТОВСКАВИА"")",6672273994,8603119138,25.11.2004,"['628613, АО ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА 86, г НИЖНЕВАРТОВСК, ул АВИАТОРОВ, 2']",7-3466-492002,office@nvavia.ru,68.20.12.000,"аренда нежилого помещения, поставка питьевой воды, услуги канализации, техническое обслуживание инженерных сетей, техническое обслуживание электроустановок и охранно-пожарной сигнализации"
348,1665808957716000041,"1 408 950,92 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)",УПРАВЛЕНИЕ СУДЕБНОГО ДЕПАРТАМЕНТА В СВЕРДЛОВСКОЙ ОБЛАСТИ,"Акционерное общество ""РАСЧЕТНЫЙ ЦЕНТР УРАЛА""",6658089577,6659190330,28.04.2009,"['620141, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, ул АРТИНСКАЯ, 15, 501']",8-343-1111111,a@a.ru,35.30.11.111,Поставка тепловой энергии и теплоносителя
349,3663700292016000001,"1 000 000,00 ",2016-01-01,2016-03-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","Муниципальное казенное общеобразовательное учреждение Ачитского городского округа ""Заринская средняя общеобразовательная школа""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6637002920,5612042824,22.05.2014,"['143421, обл МОСКОВСКАЯ 50, р-н КРАСНОГОРСКИЙ, автодорога БАЛТИЯ, тер БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",7-34394-51285,sesb@ies-holding.com,35.14.10.000,электрическая энергия
350,2662300062716000002,"2 048 558,82 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""НИЖНЕТАГИЛЬСКИЙ ДЕТСКИЙ ДОМ-ШКОЛА""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСКОММУНЭНЕРГО"" (ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСКОММУНЭНЕРГО"")",6623000627,7709538063,26.06.2013,"['369000, Респ КАРАЧАЕВО-ЧЕРКЕССКАЯ 09, г ЧЕРКЕССК, пр-кт ЛЕНИНА, 147']",7-3435-23200,office@rcen-nt.ru,35.11.10.115,Поставка электроэнергии
351,2662400243317000100,"7 405 163,13 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""НИЖНЕТУРИНСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРОДСКАЯ ЭНЕРГОСЕРВИСНАЯ КОМПАНИЯ"" (-)",6624002433,6670007965,19.05.2014,"['624221, ОБЛ СВЕРДЛОВСКАЯ 66, Г НИЖНЯЯ ТУРА, УЛ 40 ЛЕТ ОКТЯБРЯ, ДОМ 10Б']",7-34342-23849,post-ntr@gesko.org,35.30.11.120,Договор теплоснабжения  поставки  горячей воды
352,2662001554416000113,"6 154 642,19 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА ГОРОД КУШВА""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6620015544,5612042824,22.05.2014,"['143421, ОБЛ МОСКОВСКАЯ 50, Р-Н КРАСНОГОРСКИЙ, АВТОДОРОГА БАЛТИЯ, ТЕР 26 КМ БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",7-3435-961379,11@mail.ru,35.11.10.149,энергоснабжение
353,3665201497716000003,"1 221 681,93 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД  № 17 ""РЯБИНУШКА""","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА ""ЗАПАДНОЕ"" СЫСЕРТСКОГО ГОРОДСКОГО ОКРУГА (МУП ЖКХ ""ЗАПАДНОЕ"")",6652014977,6652015850,01.01.2012,"['624016, обл СВЕРДЛОВСКАЯ 66, р-н СЫСЕРТСКИЙ, с ПАТРУШИ, ул КОЛХОЗНАЯ, 1']",7-34374-64402,tarasova.v.n@mail.ru,35.30.11.120,Поставка тепловой энергии на отопление
354,1665808957716000022,"5 620 000,00 ",2016-01-01,2016-12-31,"Закупка у единственного поставщика (подрядчика, исполнителя)",УПРАВЛЕНИЕ СУДЕБНОГО ДЕПАРТАМЕНТА В СВЕРДЛОВСКОЙ ОБЛАСТИ,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО МЕЖДУГОРОДНОЙ И МЕЖДУНАРОДНОЙ ЭЛЕКТРИЧЕСКОЙ СВЯЗИ ""РОСТЕЛЕКОМ""",6658089577,7707049388,25.07.2006,"['191002, г САНКТ-ПЕТЕРБУРГ 78, ул ДОСТОЕВСКОГО, 15']",8-343-3589843,ural@ural.rt.ru,61.20.11.000,Оказание услуг общедоступной электрической связи юридическому лицу
