3660200716319000007,"1 466 010,00 ",24.06.2019,31.12.2019,Конкурс с ограниченным участием в электронной форме,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №2""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСТ ОБЩЕСТВЕННОГО ПИТАНИЯ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСТ ОБЩЕСТВЕННОГО ПИТАНИЯ"")",6602007163,6671357137,11.07.2011,"['620146, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ МОСКОВСКАЯ, 216, 88']",7-904-1661999,galchonok2689@yandex.ru,56.29.19.000,"Услуги по обеспечению питанием, осуществляемые по договору, прочие"
3665600177820000001,"1 264 637,00 ",27.08.2020,28.10.2020,Электронный аукцион,БЛАГОВЕЩЕНСКОЕ СЕЛЬСКОЕ УПРАВЛЕНИЕ АДМИНИСТРАЦИИ ТУРИНСКОГО ГОРОДСКОГО ОКРУГА,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙСЕРВИС"" (ООО ""СТРОЙСЕРВИС"")",6656001778,6656004948,01.09.2011,"['623900 Свердловская область, Туринский район, г. Туринск ул. Ватомова  52']",7-34349-21231,stroy-tur@bk.ru,42.11.10.129,"Выполнение работ по замене отдельных звеньев и оголовков водопропускных труб, прочистке водоотводных канав, восстановлению профиля щебеночных дорог с добавлением нового материала в с. Благовещенское и с. Дымковское Туринского района"
3667800674819000016,"1 180 785,52 ",24.05.2019,25.07.2019,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГРАЖДАНСКОЙ ЗАЩИТЫ БЕРЕЗОВСКОГО ГОРОДСКОГО ОКРУГА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕГА""",6678006748,6671190030,28.03.2006,"['620014, Свердловская область, г. Екатеринбург ул. Попова-16-13']",8-909-0001166,powerstrong75@yandex.ru,43.39.19.190,"Ремонт здания по адресу: Гагарина, 1 (внутренние работы по ремонту помещений)"
2666012663516000005,"2 999 799,00 ",15.02.2016,30.04.2016,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""КЛИНИКО-ДИАГНОСТИЧЕСКИЙ ЦЕНТР ""ОХРАНА ЗДОРОВЬЯ МАТЕРИ И РЕБЕНКА""",ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «ПРИБОРЫ»,6660126635,7724046323,13.02.2003,"['115304, г. Москва, ул. Кантемировская, д. 3, кв. 3']",(495)9374594,elena@pribori.com,20.59.52.199,"Поставка наборов реагентов для проведения биохимического  генетического скрининга беременных в первом триместре на анализаторе ""Dx6000-0010"" (закрытая система) и анализаторе ""AutoDelfia 1235"" (закрытая система)"
3660700545917000002,"1 159 424,02 ",03.10.2017,20.04.2018,Электронный аукцион,"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКИЕ ЭЛЕКТРИЧЕСКИЕ СЕТИ"" ВЕРХНЕСАЛДИНСКОГО ГОРОДСКОГО ОКРУГА","Общество с ограниченной ответственностью ""Инженерно-технический центр УралЭнергоИнжиниринг"" (ООО ""Инженерно-технический центр УралЭнергоИнжиниринг"")",6607005459,6686003966,07.03.2012,"['620000, Свердловская обл, Екатеринбург г, ул.Старых большевиков, д.2']",7-343-3182161,uraldiag@yandex.ru,71.20.19.140,Оказание услуг по техническому освидетельствованию электрооборудования
3662000724719000003,"1 804 224,29 ",28.01.2019,30.11.2019,"Закупка у единственного поставщика (подрядчика, исполнителя)",МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 19 ГОРОДА ВЕРХНЯЯ ТУРА,"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДСКОГО ОКРУГА ВЕРХНЯЯ ТУРА ""ТУРА ЭНЕРГО"" (МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДСКОГО ОКРУГА ВЕРХНЯЯ ТУРА ""ТУРА ЭНЕРГО"")",6620007247,6681009971,27.07.2018,"['624320, ОБЛ СВЕРДЛОВСКАЯ 66, Г ВЕРХНЯЯ ТУРА, УЛ МАШИНОСТРОИТЕЛЕЙ, ДОМ 18']",7-912-2551862,turaenergo@mail.ru,35.30.11.120,"Энергия тепловая, отпущенная котельными"
2667135236118000010,"16 410 200,00 ",09.04.2018,31.12.2018,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ  УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ОПЕРАТОР ЭЛЕКТРОННОГО ПРАВИТЕЛЬСТВА""","Публичное акционерное общество междугородной и международной электрической связи ""Ростелеком""",6671352361,7707049388,27.09.2017,"['620010, Российская Федерация, Свердловская обл., г. Екатеринбург, ул. Луначарского, д.134Б, ОКАТО: 65401000000']",8-800-2003000,1811@ural.rt.ru,63.11.19.000,Использование регионального сегмента инфраструктуры электронного правительства
3662000997421000051,"1 680 000,00 ",18.11.2021,30.12.2021,Запрос котировок в электронной форме,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ  УЧРЕЖДЕНИЕ КУШВИНСКОГО ГОРОДСКОГО ОКРУГА ""КОМИТЕТ ЖИЛИЩНО-КОММУНАЛЬНОЙ СФЕРЫ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОГРЕССИВНЫЕ ТЕХНОЛОГИИ ЭНЕРГЕТИКИ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОГРЕССИВНЫЕ ТЕХНОЛОГИИ ЭНЕРГЕТИКИ"")",6620009974,7447288825,06.08.2019,"['454112, ОБЛ ЧЕЛЯБИНСКАЯ 74, Г ЧЕЛЯБИНСК, ПР-КТ КОМСОМОЛЬСКИЙ, ДОМ 41Д, КВАРТИРА 45']",7-951254-6429,pte-chel@yandex.ru,43.21.10.220,1
3662000724719000003,"1 804 224,29 ",28.01.2019,30.11.2019,"Закупка у единственного поставщика (подрядчика, исполнителя)",МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 19 ГОРОДА ВЕРХНЯЯ ТУРА,"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДСКОГО ОКРУГА ВЕРХНЯЯ ТУРА ""ТУРА ЭНЕРГО"" (МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДСКОГО ОКРУГА ВЕРХНЯЯ ТУРА ""ТУРА ЭНЕРГО"")",6620007247,6681009971,27.07.2018,"['624320, ОБЛ СВЕРДЛОВСКАЯ 66, Г ВЕРХНЯЯ ТУРА, УЛ МАШИНОСТРОИТЕЛЕЙ, ДОМ 18']",7-912-2551862,turaenergo@mail.ru,35.30.11.120,"Энергия тепловая, отпущенная котельными"
3660800365518000015,"1 974 925,54 ",30.07.2018,31.12.2018,Электронный аукцион,"ЕКАТЕРИНБУРГСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СПЕЦИАЛИЗИРОВАННАЯ АВТОБАЗА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦРЕГИОН"" (ООО ""СПЕЦРЕГИОН"")",6608003655,6664079721,01.09.2011,"['620010, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ ПРОФСОЮЗНАЯ, ДОМ 51, КВАРТИРА 15']",7-343-2260122,tender@specregion.ru,14.12.30.190,Белье
2667135236118000010,"16 410 200,00 ",09.04.2018,31.12.2018,"Закупка у единственного поставщика (подрядчика, исполнителя)","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ  УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ОПЕРАТОР ЭЛЕКТРОННОГО ПРАВИТЕЛЬСТВА""","Публичное акционерное общество междугородной и международной электрической связи ""Ростелеком""",6671352361,7707049388,27.09.2017,"['620010, Российская Федерация, Свердловская обл., г. Екатеринбург, ул. Луначарского, д.134Б, ОКАТО: 65401000000']",8-800-2003000,1811@ural.rt.ru,63.11.19.000,Использование регионального сегмента инфраструктуры электронного правительства
1666401583021000001,"1 308 000,00 ",20.04.2021,26.07.2021,Электронный аукцион,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СВЕРДЛОВСКИЙ РЕФЕРЕНТНЫЙ ЦЕНТР ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ВЕТЕРИНАРНОМУ И ФИТОСАНИТАРНОМУ НАДЗОРУ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕОТЕСТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕОТЕСТ"")",6664015830,6727035470,18.05.2020,"['215800, ОБЛ СМОЛЕНСКАЯ 67, Г ЯРЦЕВО, УЛ 2-Я МАШИНОСТРОИТЕЛЬНАЯ, СТРОЕНИЕ 9, ОФИС 209Б']",7-499-6490201,info@neo-test.ru,20.59.52.199,1
3660700545917000002,"1 159 424,02 ",03.10.2017,20.04.2018,Электронный аукцион,"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКИЕ ЭЛЕКТРИЧЕСКИЕ СЕТИ"" ВЕРХНЕСАЛДИНСКОГО ГОРОДСКОГО ОКРУГА","Общество с ограниченной ответственностью ""Инженерно-технический центр УралЭнергоИнжиниринг"" (ООО ""Инженерно-технический центр УралЭнергоИнжиниринг"")",6607005459,6686003966,07.03.2012,"['620000, Свердловская обл, Екатеринбург г, ул.Старых большевиков, д.2']",7-343-3182161,uraldiag@yandex.ru,71.20.19.140,Оказание услуг по техническому освидетельствованию электрооборудования
3666404326716000002,"1 248 593,00 ",15.02.2016,31.01.2017,"Закупка у единственного поставщика (подрядчика, исполнителя)",МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №87,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС"" (ПАО ""Т ПЛЮС"")",6664043267,6315376946,15.06.2015,"['143421, ОБЛ МОСКОВСКАЯ 50, Р-Н КРАСНОГОРСКИЙ, АВТОДОРОГА БАЛТИЯ, ТЕР 26 КМ БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, СТРОЕНИЕ 3']",7-343-3591200,post_sf@tplusgroup.ru,,Оказание услуг по передаче пара и горячей воды (тепловой энергии)
3668200734219000001,"3 361 200,00 ",08.04.2019,30.09.2019,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБРАЗОВАНИЯ ГОРОДСКОГО ОКРУГА ВЕРХНИЙ ТАГИЛ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕКАТЕРИНБУРГСКОЕ ТУРИСТИЧЕСКОЕ АГЕНТСТВО"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕКАТЕРИНБУРГСКОЕ ТУРИСТИЧЕСКОЕ АГЕНТСТВО"")",6682007342,6672249991,01.01.2012,"['620026, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ СОНИ МОРОЗОВОЙ, 180, 69']",7-343-3787200,102@eta-info.ru,86.90.19.140,"Предоставление услуг по организации отдыха и оздоровления детей и подростков от 6,6 до 17 лет в детских санаториях и санаторно-оздоровительных лагерях круглогодичного действия в 2019 году."
3667700541320000004,"1 057 011,60 ",11.02.2020,31.12.2020,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФИЗКУЛЬТУРНО-СПОРТИВНЫЙ ЦЕНТР"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ АЛАПАЕВСКОЕ","НЕПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВЕЗА ВЕРХНЯЯ СИНЯЧИХА"" (НЕПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВЕЗА ВЕРХНЯЯ СИНЯЧИХА"")",6677005413,6635000195,01.09.2011,"['624690, ОБЛ СВЕРДЛОВСКАЯ 66, Р-Н АЛАПАЕВСКИЙ, ПГТ ВЕРХНЯЯ СИНЯЧИХА, УЛ КЕДРОВАЯ, 1']",7-34346-97318,sveza_vs@sveza.com,35.30.11.120,Энергия тепловая
1722300731616000034,"1 184 128,00 ",03.03.2016,30.11.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)","Федеральное казенное учреждение ""Федеральное управление автомобильных дорог ""Урал"" Федерального дорожного агентства""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮГОР"" (АО ""ЮГОР"")",7223007316,7206039011,01.10.2008,"['626157, обл ТЮМЕНСКАЯ 72, г ТОБОЛЬСК, мкр 7-Й, ДОМ 30']",7-3456-264663,info@mail.ru,,Арендная плата за пользование нежилым помещением
2666001041516000469,"3 027 197,44 ",04.08.2016,31.12.2016,"Закупка у единственного поставщика (подрядчика, исполнителя)",МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИПАЛ-ОНКО"" (ООО ""МЕДИПАЛ-ОНКО"")",6660010415,7701213835,01.07.1999,"['105082, г МОСКВА 77, ул ФРИДРИХА ЭНГЕЛЬСА, 75, 21']",7-495-6628494,giniatullina@medipal-onko.ru,21.20.10.259,"ИКАТИБАНТ, Фиразир, раствор для подкожного введения 10 мг/мл 3мл шприц №1 , РентшлерБиотехнолоджиГмбХ / Германия"
3664601148817000083,"15 718 535,06 ",11.09.2017,31.10.2018,Электронный аукцион,АДМИНИСТРАЦИЯ МИХАЙЛОВСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ,"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ГАЗОВЫЕ СЕТИ""",6646011488,6659106560,03.07.2008,"['620014, Свердловская область, город Екатеринбург, улица Радищева, 2 / 8 марта ул 28']",7-343-2578887,gazseti@gazseti.ru,42.21.22.190,"""Расширение сети газопроводов для газоснабжения жилых домов ПКГЖБ ""Юго-Западный"" г.Михайловске"" 3-этап. Газопроводы низкого давления ШРП-8."
2665813563221000021,"9 503 478,92 ",09.02.2021,31.12.2022,"Закупка у единственного поставщика (подрядчика, исполнителя)",ДЕПАРТАМЕНТ ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ МИРОВЫХ СУДЕЙ СВЕРДЛОВСКОЙ ОБЛАСТИ,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС""",6658135632,5612042824,22.05.2014,"['МОСКОВСКАЯ ОБЛАСТЬ РАЙОН КРАСНОГОРСКИЙ, АВТОДОРОГА БАЛТИЯ ТЕРРИТОРИЯ 26 КМ БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, СТРОЕНИЕ 3, ОФИС 513']",8-353-2797597,tatyana.karepanova@esplus.ru,,1
3661100106218000013,"1 200 000,00 ",29.03.2018,31.12.2018,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""КОМБИНАТ ШКОЛЬНОГО И СТУДЕНЧЕСКОГО ПИТАНИЯ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ИРБИТ","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСБЫТ ПЛЮС"" (ОАО ""ЭНЕРГОСБЫТ ПЛЮС"")",6611001062,5612042824,22.05.2014,"['143421, ОБЛ МОСКОВСКАЯ 50, Р-Н КРАСНОГОРСКИЙ, АВТОДОРОГА БАЛТИЯ, ТЕР 26 КМ БИЗНЕС-ЦЕНТР РИГА-ЛЕНД, 3']",8-34355-52497,sesb@ies-holding.com,35.11.10.115,"Электроэнергия, произведенная атомными электростанциями (АЭС) общего назначения"
2666012663516000005,"2 999 799,00 ",15.02.2016,30.04.2016,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""КЛИНИКО-ДИАГНОСТИЧЕСКИЙ ЦЕНТР ""ОХРАНА ЗДОРОВЬЯ МАТЕРИ И РЕБЕНКА""",ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «ПРИБОРЫ»,6660126635,7724046323,13.02.2003,"['115304, г. Москва, ул. Кантемировская, д. 3, кв. 3']",(495)9374594,elena@pribori.com,20.59.52.199,"Поставка наборов реагентов для проведения биохимического  генетического скрининга беременных в первом триместре на анализаторе ""Dx6000-0010"" (закрытая система) и анализаторе ""AutoDelfia 1235"" (закрытая система)"
